plz,note,distance_km,lat,lon
31139,"31139 Hildesheim",0.5,52.1262,9.9047
31141,"31141 Hildesheim",0.6,52.1280,9.9881
31135,"31135 Hildesheim",1.1,52.1630,9.9995
31137,"31137 Hildesheim",1.2,52.1689,9.9266
31199,"31199 Diekholzen",2.6,52.0928,9.9353
31162,"31162 Bad Salzdetfurth",4.4,52.0715,10.0160
31180,"31180 Giesen",4.5,52.1984,9.9006
31177,"31177 Harsum",4.7,52.2081,10.0105
31174,"31174 Schellerten",5.4,52.1732,10.0801
31171,"31171 Nordstemmen",6.4,52.1666,9.8073
31028,"31028 Gronau (Leine)",6.8,52.0770,9.8062
31079,"31079 Sibbesse",7.6,52.0251,9.9093
31157,"31157 Sarstedt",9,52.2334,9.8478
31188,"31188 Holle",9.4,52.0903,10.1340
31191,"31191 Algermissen",10.1,52.2629,9.9713
31249,"31249 Hohenhameln",10.4,52.2821,10.0789
30982,"30982 Pattensen",11.5,52.2343,9.7362
31167,"31167 Bockenem",12.3,52.0081,10.1110
31185,"31185 Söhlde",12.8,52.1766,10.1779
31195,"31195 Lamspringe",13.2,51.9775,9.9909
31008,"31008 Elze",13.5,52.1176,9.7019
30880,"30880 Laatzen",13.9,52.2940,9.8341
31061,"31061 Alfeld (Leine)",14.8,51.9824,9.8329
31036,"31036 Eime",15.5,52.0681,9.7125
31832,"31832 Springe",15.5,52.1969,9.6012
38272,"38272 Burgdorf",15.6,52.1449,10.2111
31319,"31319 Sehnde",15.7,52.3247,9.9769
38271,"38271 Baddeckenstedt",16,52.0884,10.2119
31246,"31246 Lahstedt",16.7,52.2480,10.2467
31241,"31241 Ilsede",17.7,52.2722,10.1825
31089,"31089 Duingen",18.5,52.0091,9.7008
31020,"31020 Salzhemmendorf",19.2,52.0544,9.5992
38279,"38279 Sehlde",19.2,52.0330,10.2622
30539,"30539 Hannover",19.6,52.3301,9.8447
31226,"31226 Peine",19.6,52.3042,10.2039
38228,"38228 Salzgitter",19.6,52.1473,10.2778
38277,"38277 Heere",20.1,52.0549,10.2367
31084,"31084 Freden (Leine)",20.2,51.9328,9.9228
30966,"30966 Hemmingen",20.3,52.2987,9.7406
38274,"38274 Elbe",20.5,52.0849,10.2801
38268,"38268 Lengede",21.7,52.2108,10.3003
30521,"30521 Hannover",21.9,52.3240,9.8038
31073,"31073 Grünenplan, Delligsen",22.4,51.9332,9.7650
31275,"31275 Lehrte",22.6,52.3768,10.0183
38723,"38723 Seesen",22.6,51.8781,10.1885
37581,"37581 Bad Gandersheim",22.7,51.8860,10.0242
30559,"30559 Hannover",23,52.3640,9.8485
38729,"38729 Hahausen, Lutter, Wallmoden",23.2,51.9800,10.2524
30519,"30519 Hannover",23.3,52.3392,9.7751
38229,"38229 Salzgitter",23.3,52.1274,10.3756
30952,"30952 Ronnenberg",23.6,52.3090,9.6624
38275,"38275 Haverlah",23.9,52.0628,10.3134
30974,"30974 Wennigsen (Deister)",24,52.2616,9.5806
